price,seller_rating,seller_reviews,product_images,description_length,shipping_time_days,spelling_errors,domain_age_days,contact_info_complete,return_policy_clear,payment_methods_count,views,purchases,wishlist_adds,certification_badges,warranty_months,bulk_orders,unusual_payment_patterns,ip_location_mismatch,is_counterfeit,seller_country,shipping_origin,brand_suspicious,category_Cosmetics,category_Electronics,category_Fashion,category_Luxury Goods,category_Pharmaceuticals
5.0,3.1,2131,3,237.0,12.0,2,5,0,1,1,1877,208,43,3.0,12.0,0,0,1,1,3,6,1,0,1,0,0,0
35.36,3.978268041237113,43,2,105.0,13.0,2,1164,1,0,1,3493,300,175,2.0,0.0,1,1,0,1,1,7,0,0,1,0,0,0
248.88,4.5,1645,1,710.0,27.0,2,611,1,1,4,1719,114,46,3.0,21.0,0,0,0,0,9,0,1,0,0,0,0,0
10.58,3.4,1992,4,497.0,28.0,3,778,1,0,2,3595,115,64,3.0,5.0,0,0,1,0,5,8,0,0,0,1,0,0
73.24,3.8,1628,3,562.0,8.0,1,1846,0,1,1,2603,46,168,1.0,16.0,1,0,0,0,2,6,0,0,0,1,0,0
198.71,4.9,3256,4,448.0,15.0,0,973,1,1,1,3208,423,127,1.0,12.0,0,0,0,1,8,5,0,0,0,1,0,0
85.16,4.1,0,8,510.0,8.0,1,3674,1,1,3,2276,279,70,3.0,4.0,0,0,0,1,2,3,1,1,0,0,0,0
5.0,4.0,0,5,591.0,16.0,0,1095,0,1,1,834,68,21,1.0,14.0,0,0,0,1,6,7,1,0,0,0,0,1
208.4,3.978268041237113,0,3,706.0,13.0,3,2165,0,1,1,359,13,3,3.0,9.0,1,1,1,1,0,6,1,1,0,0,0,0
140.99,3.9,1302,6,89.0,21.0,0,2320,0,0,2,358,52,24,1.0,12.0,0,0,0,0,4,5,0,0,0,0,1,0
122.27,3.2,393,4,352.0,9.0,0,659,1,1,3,3452,467,34,0.0,0.0,0,0,0,1,8,8,1,0,0,0,1,0
179.81,4.3,0,5,346.0,27.0,3,2068,0,1,1,871,71,29,0.0,19.0,1,1,0,1,5,3,0,0,0,1,0,0
107.75,4.3,0,5,378.0,29.0,0,2356,1,1,5,3201,66,137,1.0,1.0,0,1,0,0,0,7,0,1,0,0,0,0
183.36,3.8,2872,6,757.0,8.0,1,301,1,1,5,4515,602,262,2.0,3.0,0,0,0,1,3,6,0,0,0,1,0,0
150.33,3.6,1854,5,239.0,28.0,2,1688,0,0,4,3291,428,56,3.0,0.0,1,0,1,0,0,3,0,0,0,1,0,0
174.86,3.6,1850,3,350.0,18.0,0,1897,1,0,4,4013,334,216,3.0,23.0,0,0,0,1,9,7,1,0,1,0,0,0
40.85,2.7,0,4,203.0,32.0,1,502,1,0,1,423,38,32,0.0,13.0,0,0,0,1,9,5,0,0,1,0,0,0
24.91,4.5,2621,5,445.0,19.0,1,3790,1,0,2,1657,90,100,4.0,16.0,0,0,1,0,5,7,0,0,0,1,0,0
38.42,3.6,0,3,313.0,19.0,2,813,1,1,1,1553,156,122,1.0,23.0,1,0,0,0,4,9,0,0,0,0,1,0
88.97,3.1,0,1,20.0,27.0,2,474,1,0,1,360,9,13,0.0,8.0,0,1,0,0,4,9,0,0,0,1,0,0
226.06,3.4,1771,4,436.0,18.0,1,877,0,1,3,1611,24,41,4.0,27.0,0,1,0,1,0,5,0,0,0,1,0,0
166.07,4.7,5531,6,768.0,1.0,0,1115,0,0,4,4104,591,174,3.0,4.0,0,1,1,0,1,7,0,0,0,0,0,1
363.21,5.0,6760,5,809.0,1.0,0,2752,1,1,6,3226,295,251,4.0,10.0,1,0,0,1,6,5,1,1,0,0,0,0
48.98,3.7,3388,1,503.0,8.0,0,4000,0,1,1,3955,324,72,3.0,4.0,0,0,0,0,5,2,0,0,1,0,0,0
5.0,3.4,82,4,336.0,20.0,1,2371,0,1,1,4935,311,242,0.0,0.0,0,0,0,1,3,0,1,0,1,0,0,0
248.51,4.5,2184,6,594.0,4.0,0,2360,1,0,3,201,21,5,3.0,29.0,1,0,0,0,2,1,0,0,0,0,1,0
199.7,3.2,1618,1,271.0,44.0,1,782,1,1,3,2112,112,75,0.0,14.0,0,0,1,1,2,7,1,0,0,0,1,0
190.75,3.7,2320,6,901.0,9.0,2,2829,0,0,5,2125,151,168,4.0,10.0,1,0,0,1,3,5,0,0,0,0,1,0
5.0,3.5,530,1,360.0,39.0,1,2026,1,0,1,4739,334,313,3.0,20.0,0,0,0,0,0,5,0,0,0,0,1,0
141.9,3.4,463,1,264.0,22.0,0,1478,1,1,1,1967,37,120,2.0,10.0,0,0,0,0,7,9,1,0,0,0,0,0
250.65,3.6,1958,1,442.0,19.0,0,710,1,1,3,3311,199,249,3.0,19.0,0,0,0,1,3,3,1,0,0,0,0,1
363.49,3.9,3231,3,531.0,1.0,1,1361,1,1,2,2917,288,35,2.0,11.988333333333333,0,0,0,0,0,3,0,0,0,1,0,0
126.45,3.3,0,2,59.0,26.0,2,1008,1,0,1,748,15,28,3.0,3.0,1,0,0,1,6,2,1,0,1,0,0,0
151.38,4.0,2007,1,471.0,11.0,1,1177,1,0,2,242,27,11,2.0,2.0,0,0,0,0,4,3,0,0,0,0,0,1
209.29,4.5,3278,1,353.0,17.0,0,1796,0,0,3,3327,460,95,5.0,10.0,0,0,0,0,5,6,0,0,0,0,1,0
143.99,3.8,2205,3,20.0,29.0,1,5,1,0,1,640,28,4,1.0,13.0,1,1,0,1,6,6,0,0,0,0,0,0
31.58,4.5,1492,3,977.0,28.0,1,5,1,1,3,3327,104,138,1.0,10.0,1,0,0,0,3,6,0,0,0,0,1,0
156.67,3.3,1639,2,309.0,9.0,1,1455,1,1,4,3176,59,56,1.0,14.0,0,0,0,0,1,7,0,0,0,0,0,1
142.42,3.6,491,3,472.0,11.0,0,1340,0,1,1,4354,85,337,1.0,17.0,0,0,0,1,5,5,0,0,0,0,1,0
80.23,4.1,1908,4,769.0,9.0,2,999,1,1,4,4525,112,144,0.0,17.0,0,0,0,1,3,7,0,1,0,0,0,0
140.01,4.6,2525,6,545.0,8.0,0,2289,1,1,4,319,24,18,0.0,13.0,0,0,0,1,7,2,0,0,0,0,0,1
154.8,4.9,935,3,616.0,1.0,0,2084,0,1,4,2984,113,96,4.0,13.0,1,0,0,0,5,9,0,0,0,1,0,0
119.72,2.8,1629,2,100.0,14.0,2,545,1,0,4,274,11,4,1.0,18.0,0,1,0,1,2,9,0,0,0,1,0,0
187.24,4.9,6591,7,716.0,3.0,0,2991,1,0,6,3831,358,185,3.0,23.0,0,0,0,0,0,7,0,0,0,0,0,1
146.22,4.1,1807,2,521.0,4.0,0,411,0,1,2,3163,52,30,2.0,4.0,1,0,0,1,7,8,0,0,1,0,0,0
5.0,3.1,598,3,20.0,27.0,3,5,1,0,1,1169,155,44,0.0,2.0,1,0,0,1,0,2,1,0,0,0,0,1
158.41,4.0,2311,2,151.0,29.0,0,1758,0,0,3,4648,105,302,0.0,5.0,1,1,0,0,2,7,0,1,0,0,0,0
185.9,3.9,800,4,662.0,1.0,0,3134,1,1,2,4739,693,332,1.0,13.0,0,0,0,0,5,2,0,0,0,0,1,0
246.83,4.0,2855,5,374.0,1.0,0,865,0,1,5,390,18,4,4.0,23.0,1,0,0,1,0,2,0,0,0,0,0,0
220.39,4.5,2178,3,528.0,11.0,0,2602,1,1,2,2761,160,45,3.0,24.0,1,0,0,1,9,1,1,0,0,0,0,1
98.99,4.1,2540,1,459.0,14.0,1,688,1,0,3,2409,360,87,0.0,18.0,1,0,0,0,4,1,0,0,0,0,0,1
84.56,3.3,801,3,464.0,36.0,1,949,1,1,1,1643,112,87,2.0,5.0,1,1,1,1,7,5,0,0,0,1,0,0
161.34,4.4,1139,1,109.0,16.0,1,1364,1,0,3,1925,69,36,2.0,8.0,0,0,0,0,9,8,0,0,0,1,0,0
213.97,4.5,741,3,745.0,12.0,0,5,1,0,2,4230,319,336,1.0,13.0,1,0,0,0,2,6,0,0,1,0,0,0
285.24,4.3,1138,3,468.0,4.0,0,1190,1,0,2,3577,138,148,3.0,11.0,0,0,0,0,8,8,0,1,0,0,0,0
284.74,2.7,130,1,539.0,7.0,1,1836,1,1,3,4465,212,291,0.0,5.0,0,0,0,1,1,3,1,0,0,0,0,1
5.0,3.0,0,1,180.0,36.0,0,769,0,0,1,62,4,4,0.0,8.0,0,1,1,1,6,2,1,0,0,0,0,1
230.04,4.4,1888,1,500.0,1.0,0,347,1,0,3,704,16,22,1.0,17.0,0,0,1,0,6,3,0,0,1,0,0,0
51.41,4.5,234,1,20.0,13.0,3,301,0,0,3,2890,252,38,1.0,15.0,1,0,0,1,7,3,0,0,0,0,0,0
209.06,4.2,2168,2,403.7255102040816,21.0,0,2497,1,1,5,2279,90,172,3.0,18.0,0,0,0,0,1,1,0,0,0,0,0,1
226.25,3.6,0,3,392.0,23.0,0,1835,1,0,2,4847,357,91,1.0,7.0,1,0,0,0,3,0,0,0,0,0,0,0
286.41,4.2,4591,3,417.0,22.0,0,2811,1,1,4,491,65,35,5.0,16.0,0,0,1,1,6,6,0,0,0,0,1,0
233.99,3.7,0,1,461.0,15.0,2,1468,0,1,3,3906,562,245,0.0,11.988333333333333,0,0,1,1,9,7,1,0,0,0,1,0
195.04,3.6,0,1,334.0,21.0,3,1514,1,1,2,3391,51,63,2.0,12.0,0,0,0,1,2,6,1,1,0,0,0,0
212.17,4.2,2980,6,1088.0,16.0,0,2962,1,0,3,2120,115,68,3.0,11.988333333333333,1,0,0,0,7,2,0,0,0,1,0,0
36.09,3.8,548,5,207.0,33.0,2,2122,1,1,3,1666,127,81,3.0,5.0,0,0,1,1,1,6,0,1,0,0,0,0
218.98,3.9,0,3,550.0,35.0,1,5,0,0,1,1422,204,44,0.0,2.0,0,1,0,1,8,3,1,1,0,0,0,0
147.22,4.7,3039,5,855.0,7.0,1,2140,1,0,1,469,20,21,0.0,10.0,0,0,0,0,2,7,0,0,0,1,0,0
79.25,3.978268041237113,3565,1,381.0,30.0,1,3299,1,0,3,645,13,42,1.0,31.0,0,0,1,1,8,2,0,0,0,0,1,0
135.05,4.1,0,2,546.0,18.0,1,107,1,1,1,4221,487,160,1.0,2.0,0,0,0,1,4,5,0,0,0,0,0,0
207.17,4.1,2864,4,631.0,1.0,0,4000,0,0,4,1243,170,60,2.0,9.0,0,0,0,0,4,4,0,1,0,0,0,0
269.37,3.5,0,4,237.0,11.0,0,5,1,1,3,1889,127,103,3.0,21.0,0,0,0,1,7,4,0,1,0,0,0,0
259.18,5.0,2000,7,634.0,1.0,0,1971,1,1,2,1047,82,15,1.0,25.0,1,0,0,0,0,4,0,0,1,0,0,0
194.76,3.9,0,5,724.0,22.0,0,2308,1,1,1,4557,669,309,1.0,11.988333333333333,0,0,0,0,5,1,0,0,1,0,0,0
332.04,4.2,337,3,545.0,35.0,0,5,0,0,3,2656,327,63,2.0,8.0,0,0,0,1,8,2,1,0,1,0,0,0
166.57,4.0,0,3,522.0,6.0,2,74,1,0,2,3144,117,20,4.0,0.0,1,0,0,0,3,8,0,0,0,0,0,0
82.81,3.6,0,5,244.0,36.0,3,323,0,0,1,2860,205,63,0.0,0.0,0,1,0,0,5,4,0,0,1,0,0,0
189.54,4.4,5862,9,415.0,28.0,0,1837,1,1,2,3929,514,174,2.0,31.0,1,0,0,0,6,2,0,0,0,0,0,0
250.69,4.2,2589,3,278.0,24.0,1,1432,0,1,4,3030,365,147,1.0,7.0,0,0,0,0,2,7,0,0,0,0,0,0
155.99,4.6,2347,2,538.0,1.0,0,1487,1,1,2,3728,106,95,5.0,22.0,0,0,0,0,0,1,0,0,0,0,0,1
130.22,3.1,0,1,350.0,37.0,2,1203,1,1,3,2857,60,95,0.0,11.988333333333333,1,0,0,1,6,2,1,0,1,0,0,0
54.22,4.1,3471,3,524.0,20.0,0,1989,0,0,4,4698,201,289,0.0,7.0,0,0,0,1,3,9,0,0,1,0,0,0
192.87,4.0,3514,3,314.0,4.0,3,2215,1,1,5,873,128,67,0.0,30.0,1,0,0,0,3,8,0,0,1,0,0,0
165.44,4.8,2074,4,399.0,1.0,3,5,1,1,6,3279,270,199,1.0,9.0,0,0,0,0,4,5,0,0,0,1,0,0
346.07,4.0,4444,5,302.0,1.0,0,1191,1,1,4,3233,401,214,0.0,28.0,1,0,0,0,0,4,0,0,1,0,0,0
165.4,3.7,1270,4,513.0,28.0,2,1870,1,1,1,2308,103,92,0.0,16.0,0,0,0,0,2,2,0,0,0,0,0,1
158.23,5.0,8045,6,403.7255102040816,1.0,1,2279,1,0,4,2126,42,164,3.0,20.0,0,1,0,0,9,4,0,0,0,1,0,0
203.33,4.2,915,7,390.0,1.0,0,1266,1,1,2,426,38,2,3.0,18.0,1,0,0,0,1,5,0,0,0,1,0,0
211.12,4.0,4249,6,123.0,41.0,0,1981,1,0,5,4037,50,314,3.0,10.0,0,0,1,1,2,5,1,0,0,1,0,0
57.63,4.2,830,5,464.0,6.0,3,372,1,1,2,4834,65,218,1.0,4.0,1,0,0,0,0,2,0,0,1,0,0,0
54.75,3.7,1871,4,415.0,26.0,0,2403,1,0,1,742,31,5,1.0,0.0,0,0,0,1,1,2,0,0,0,0,0,0
61.93,4.2,0,4,246.0,41.0,1,5,0,1,3,633,94,24,1.0,17.0,0,0,0,0,4,6,0,0,0,0,0,0
227.16,5.0,2457,7,556.0,1.0,1,3462,1,1,4,2769,132,218,1.0,18.0,0,0,0,0,9,5,0,0,0,1,0,0
123.09,3.6,3113,1,422.0,1.0,1,1842,1,0,2,3178,433,235,4.0,11.0,0,0,0,0,5,5,0,1,0,0,0,0
214.51,5.0,4279,8,473.0,7.0,0,4000,1,0,4,1489,76,22,2.0,26.0,1,0,0,0,7,2,0,0,1,0,0,0
163.1,3.3,457,4,338.0,16.0,0,2258,1,1,3,1051,13,74,2.0,8.0,1,0,0,1,3,4,0,0,0,0,1,0
15.36,2.9,0,1,330.0,35.0,2,1600,1,1,2,3380,184,150,3.0,0.0,0,0,0,0,1,5,0,1,0,0,0,0
176.59,3.6,1682,5,301.0,15.230456852791878,0,3290,0,0,2,931,20,41,3.0,26.0,0,0,0,0,1,5,0,0,0,0,0,0
69.99,3.8,0,1,313.0,24.0,0,2238,1,1,2,2240,328,42,3.0,11.988333333333333,1,0,0,1,0,3,1,0,0,0,0,0
52.34,3.5,0,1,256.0,28.0,3,5,1,0,2,4513,239,172,0.0,0.0,1,0,1,1,3,1,1,1,0,0,0,0
183.76,4.6,1813,5,568.0,10.0,0,1530,1,1,5,4742,69,55,2.0,20.0,0,0,1,0,8,0,0,1,0,0,0,0
196.67,4.8,3464,7,218.0,10.0,0,1462,0,1,3,169,5,1,4.0,17.0,0,0,0,0,1,0,0,0,1,0,0,0
118.64,3.4,7650,5,190.0,1.0,1,2805,1,1,3,289,32,17,2.0,17.0,0,0,0,0,7,7,0,0,0,1,0,0
170.12,3.5,2489,3,292.0,5.0,0,1745,0,0,2,2117,282,40,4.0,26.0,1,0,0,1,9,7,1,0,1,0,0,0
171.41,4.7,1994,7,453.0,18.0,0,1675,1,1,1,2866,347,125,2.0,1.0,1,0,0,0,5,6,0,0,0,0,1,0
251.02,4.3,863,3,309.0,16.0,0,2940,0,1,3,4930,384,82,3.0,16.0,0,0,0,0,4,8,0,0,0,0,0,0
245.58,3.6,2278,2,139.0,9.0,2,625,1,0,5,2259,50,23,0.0,20.0,0,1,0,0,5,6,0,1,0,0,0,0
274.09,3.7,2841,6,506.0,34.0,1,1961,1,1,2,4000,182,98,3.0,18.0,0,0,0,0,4,5,0,1,0,0,0,0
135.89,3.6,399,5,415.0,1.0,1,1312,1,1,4,3694,398,226,0.0,7.0,0,0,0,0,7,4,0,0,0,0,1,0
190.67,4.1,2950,3,384.0,1.0,1,5,1,0,1,3907,516,239,0.0,6.0,1,1,1,1,8,2,1,0,1,0,0,0
6.38,3.6,637,7,458.0,9.0,0,5,1,0,2,4563,429,297,2.0,1.0,0,1,0,1,6,3,1,1,0,0,0,0
205.6,4.5,4330,6,194.0,25.0,0,2010,0,1,1,2042,223,84,4.0,21.0,1,0,0,1,8,6,0,0,0,0,0,0
176.41,4.4,1112,4,216.0,19.0,1,1966,1,1,3,3413,367,48,0.0,9.0,1,0,0,0,9,4,0,0,0,1,0,0
69.13,4.0,1327,5,395.0,15.0,0,3207,1,1,4,3407,202,223,5.0,11.0,0,0,0,0,8,5,0,0,0,1,0,0
90.56,4.4,1304,2,713.0,1.0,0,2789,1,1,3,1103,92,84,3.0,22.0,1,0,0,0,6,2,0,1,0,0,0,0
273.69,4.4,4377,6,325.0,1.0,0,3028,1,0,4,806,55,6,2.0,21.0,0,0,0,0,2,8,0,0,0,1,0,0
73.19,3.7,1707,4,435.0,22.0,0,1818,0,0,1,160,15,12,4.0,4.0,1,0,0,0,8,1,0,0,0,0,0,0
168.39,3.3,1865,4,107.0,30.0,2,2613,1,1,3,580,74,34,1.0,13.0,0,0,0,1,4,8,1,0,1,0,0,0
116.69,3.8,0,3,538.0,1.0,1,1451,1,1,3,4067,120,170,2.0,19.0,0,1,0,0,5,8,0,0,0,0,0,0
104.92,2.8,0,5,20.0,25.0,0,1221,0,0,1,3841,479,113,1.0,12.0,0,0,0,0,6,9,0,0,0,1,0,0
174.75,4.1,0,3,280.0,20.0,0,5,0,1,4,4578,317,86,1.0,23.0,0,1,0,1,1,3,1,0,0,0,1,0
111.07,3.6,2605,4,148.0,35.0,0,999,0,0,3,3591,309,82,4.0,4.0,1,0,0,0,5,1,0,0,1,0,0,0
143.99,4.4,2694,6,31.0,1.0,0,2913,0,1,2,2425,358,178,5.0,33.0,0,0,0,0,0,5,0,0,0,0,0,0
72.16,3.3,2758,2,288.0,16.0,1,5,1,0,1,4041,210,81,0.0,0.0,0,0,1,1,4,8,1,1,0,0,0,0
5.0,2.2,0,2,242.0,24.0,2,5,1,0,3,4163,98,166,0.0,4.0,1,0,1,1,7,9,0,0,0,0,0,1
149.57,2.2,0,1,246.0,16.0,2,532,1,0,1,1729,254,26,1.0,5.0,0,1,0,1,3,6,0,0,0,0,0,0
118.85,3.7,54,6,424.0,7.0,1,1204,0,1,2,2915,209,116,2.0,9.0,0,0,0,0,0,2,0,0,0,0,0,0
167.72,4.2,0,4,129.0,22.0,1,5,0,1,6,2780,344,128,2.0,7.0,1,0,0,0,2,2,0,0,1,0,0,0
227.56,4.1,665,1,222.0,5.0,1,1295,0,0,4,4200,545,213,3.0,4.0,1,0,0,1,7,9,0,0,0,0,1,0
57.63,4.5,2158,4,695.0,2.0,0,1464,0,1,1,597,38,46,3.0,14.0,0,0,0,1,6,4,0,0,1,0,0,0
70.86,3.8,3451,5,141.0,12.0,2,2393,0,1,3,517,72,36,0.0,0.0,1,0,0,0,4,4,0,0,0,0,0,1
272.65,3.8,834,2,409.0,13.0,0,1089,1,0,3,3982,347,280,3.0,7.0,0,0,0,1,6,3,1,0,0,1,0,0
91.32,4.3,2874,1,232.0,3.0,0,1303,1,0,2,2683,313,81,1.0,20.0,0,1,0,0,2,4,0,0,0,1,0,0
273.72,4.0,2734,1,324.0,6.0,0,1243,0,1,2,1448,205,103,1.0,5.0,1,1,0,1,1,4,0,0,1,0,0,0
39.64,3.8,4657,4,563.0,13.0,1,2028,1,0,4,1600,86,113,3.0,22.0,0,0,0,0,0,3,0,0,0,1,0,0
23.2,4.0,623,6,119.0,26.0,0,2541,1,0,1,4894,360,338,2.0,5.0,1,1,0,1,4,4,0,1,0,0,0,0
248.25,3.9,926,9,617.0,11.0,0,1500,0,1,6,3057,294,79,5.0,15.0,0,0,0,0,2,9,0,0,1,0,0,0
128.21,4.3,0,3,213.0,21.0,0,5,1,1,1,651,96,27,3.0,4.0,1,0,1,1,5,9,0,0,1,0,0,0
125.85,4.0,3169,2,606.0,23.0,0,478,1,1,3,4807,463,80,2.0,9.0,1,1,0,1,3,0,0,0,0,1,0,0
223.83,3.9,2455,3,1001.0,1.0,1,464,1,0,4,3738,97,188,2.0,16.0,1,0,0,0,4,0,0,0,0,0,0,1
128.43,3.3,2310,6,557.0,21.0,0,1231,1,1,2,2850,250,132,0.0,1.0,0,0,1,1,1,8,0,0,0,0,0,0
136.6,3.7,264,3,247.0,16.0,1,1042,1,1,3,3928,105,241,1.0,0.0,0,0,0,1,4,2,1,0,0,0,0,0
292.6,4.9,3692,9,585.0,1.0,0,4000,0,1,5,2100,89,14,3.0,17.0,1,0,0,0,8,5,0,0,0,0,0,1
316.79,4.9,4183,8,720.0,1.0,0,1005,1,1,5,4989,569,388,1.0,25.0,0,0,0,0,9,4,0,0,0,0,0,1
144.26,3.6,104,2,20.0,19.0,3,478,1,1,3,2562,347,137,0.0,0.0,1,0,0,1,1,9,0,0,0,1,0,0
224.14,3.978268041237113,1637,6,530.0,1.0,0,1375,1,1,6,959,135,56,0.0,24.0,0,0,0,0,7,6,0,0,0,1,0,0
49.83,2.3,2270,2,272.0,28.0,3,1982,1,1,1,4019,71,228,2.0,11.988333333333333,0,1,0,1,3,8,1,0,0,1,0,0
106.03,4.0,0,1,202.0,27.0,1,2063,1,1,1,2925,411,101,5.0,7.0,1,0,0,1,1,3,0,0,0,0,0,0
247.97,3.9,2305,5,453.0,31.0,0,1495,1,1,2,3333,481,177,0.0,12.0,0,0,0,0,6,9,0,0,0,0,0,0
305.14,4.6,5127,5,436.0,1.0,0,3213,1,0,5,2851,94,147,4.0,30.0,1,0,0,0,8,7,0,0,0,0,0,1
74.47,4.7,4353,4,302.0,26.0,0,3307,1,1,5,1928,161,13,2.0,18.0,1,0,0,1,0,4,0,0,0,0,1,0
304.81,4.4,4254,6,846.0,4.0,0,2462,1,1,4,647,54,8,3.0,22.0,0,0,0,0,6,9,0,1,0,0,0,0
82.13,2.7,0,3,366.0,27.0,2,1088,1,1,2,3193,194,252,2.0,0.0,1,0,0,1,6,6,0,0,0,0,0,1
179.95,5.0,3113,6,109.0,19.0,2,2929,1,1,2,256,18,9,2.0,20.0,0,0,0,1,3,8,0,0,0,0,0,0
245.79,4.2,345,5,209.0,13.0,0,1644,1,1,2,3182,422,201,4.0,16.0,0,0,0,0,7,4,0,0,0,1,0,0
264.48,4.3,2764,5,640.0,10.0,0,946,1,1,3,3720,353,272,3.0,11.988333333333333,1,0,0,1,1,0,1,0,0,0,0,0
169.03,4.6,5093,8,489.0,8.0,2,1850,0,1,1,3333,355,237,2.0,23.0,1,0,0,0,3,6,0,0,0,0,0,0
232.34,3.2,1265,5,756.0,14.0,0,1604,0,0,2,3852,512,279,2.0,6.0,0,0,0,1,5,7,0,0,1,0,0,0
39.65,4.3,2675,2,717.0,1.0,1,2038,1,1,2,4331,138,171,2.0,25.0,1,1,0,0,0,0,0,0,0,0,0,1
92.83,3.1,709,8,20.0,20.0,3,5,1,1,1,3450,103,210,0.0,2.0,0,1,0,1,9,4,1,0,0,0,1,0
202.96,5.0,4143,6,468.0,7.0,1,2376,1,1,3,2388,345,50,1.0,21.0,0,0,0,0,9,2,0,0,0,0,1,0
197.71,3.9,3125,4,535.0,26.0,1,4000,1,1,1,4996,687,84,1.0,17.0,1,0,0,1,3,5,1,0,1,0,0,0
102.52,3.7,0,1,160.0,1.0,2,2149,0,0,1,1078,39,36,2.0,5.0,1,0,0,1,1,1,1,0,0,0,1,0
193.09,5.0,2082,7,690.0,1.0,0,3112,1,1,1,2189,32,134,5.0,9.0,1,1,1,1,5,7,1,0,0,0,1,0
